"isrc","song_name","song_duration_ms","is_explicit","spotify_url","apple_music_url"
"USUG12400910","Not Like Us","274192","True","https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3","https://music.apple.com/us/song/not-like-us/1744776167"
"USUG12400909","meet the grahams","392138","True","https://open.spotify.com/track/4S8PxReB1UiDR2F5x1lyIR","https://music.apple.com/us/song/meet-the-grahams/1744776350"
"QZNJV2456164","Gata Only (Mashup)","215400","False","https://open.spotify.com/track/5EWf240yQq0JhlkMBSPyBN",
"USUM72404990","I Had Some Help (Feat. Morgan Wallen)","178205","True","https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP","https://music.apple.com/us/song/i-had-some-help-feat-morgan-wallen/1744439049"
"USUM72401991","LUNCH","179586","False","https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE","https://music.apple.com/us/song/lunch/1739659140"
"USUM72401988","CHIHIRO","303440","False","https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj","https://music.apple.com/us/song/chihiro/1739659141"
"USUM72401995","SKINNY","219733","False","https://open.spotify.com/track/1CsMKhwEmNnmvHUuO5nryA","https://music.apple.com/us/song/skinny/1739659137"
"USUM72401994","BIRDS OF A FEATHER","210373","False","https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB","https://music.apple.com/us/song/birds-of-a-feather/1739659142"
"USUM72401993","WILDFLOWER","261466","False","https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h","https://music.apple.com/us/song/wildflower/1739659144"
"USWB12401947","Pink Skies","194920","False","https://open.spotify.com/track/4ZJ4vzLQekI0WntDbanNC7","https://music.apple.com/us/song/pink-skies/1747842759"
"USSM12404354","BAND4BAND (feat. Lil Baby)","140733","True","https://open.spotify.com/track/7iabz12vAuVQYyekFIWJxD","https://music.apple.com/us/song/band4band/1747857516"
"USUG12403398","Houdini","227239","True","https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z","https://music.apple.com/us/song/houdini/1748971748"
"USUM72404101","Please Please Please","186365","True","https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP",
"QM24S2402634","MILLION DOLLAR BABY (VHS)","155151","False","https://open.spotify.com/track/55HpRb1dWGT3JeX9RpDpLa","https://music.apple.com/us/song/million-dollar-baby-vhs/1749616874"
"USUM72404101","Please Please Please","186365","True","https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP","https://music.apple.com/us/song/please-please-please/1750307080"
"USUM72406750","WHISKEY WHISKEY (feat. Morgan Wallen)","161052","True","https://open.spotify.com/track/2WTC4lXPR2DWSWjl23Qidm","https://music.apple.com/us/song/whiskey-whiskey-feat-morgan-wallen/1750968657"
"US66W2401066","REAL GANGSTA LOVE","145342","True","https://open.spotify.com/track/1pymWRCuZfCd0zdiBJo0Hj",
